feature1,feature2,feature3,feature4,Feature5
2,36,0,2,26
3,0,0,0,8
3,22,0,0,7
1,50,2,0,134
3,27,0,0,6975
3,22,0,0,8
1,51,1,0,78
2,36,0,0,11
2,29,1,0,26
1,22,0,0,152
1,50,1,0,106425
2,40,0,0,13
3,27,0,0,9
1,0,0,0,0
1,65,0,0,27
3,17,0,0,9
1,28,0,0,27
1,4,0,2,82
3,0,0,0,8
3,1,1,1,11
2,36,1,2,28
2,43,1,1,26
1,38,0,1,153
2,31,1,1,26
3,29,0,0,8
3,18,0,0,8
2,0,0,0,15
1,39,1,1,111
2,39,0,0,13
3,26,2,0,9
3,20,0,0,7
1,0,1,0,134
3,49,0,0,0
2,23,0,0,15
3,1,4,1,40
3,0,0,0,8
3,0,1,2,23
2,3,1,1,26
3,4,1,1,11
3,19,0,0,8
3,40,0,0,8
3,1,0,2,16
3,0,0,2,15
3,21,0,0,7925
1,54,0,0,52
3,0,0,0,16
2,25,1,2,42
3,26,1,0,14
3,22,0,0,11
3,31,1,1,20525
1,49,1,0,89
2,19,1,1,37
2,24,0,0,11
3,16,0,0,8
1,25,1,0,55
3,39,0,0,24
3,47,1,0,15
1,60,0,0,27
2,24,0,0,13
1,0,0,0,50
2,27,1,0,21
2,0,0,0,14
3,38,0,0,8
3,44,0,0,8
2,21,0,0,11
3,24,0,2,17
2,45,0,0,14
2,8,1,1,37
3,8,3,1,21075
1,0,0,0,35
3,32,0,0,8
1,50,1,0,56
3,21,0,0,8
2,50,0,0,11
3,23,0,0,7925
3,32,0,0,8
3,0,0,0,8
3,21,2,2,34375
3,0,0,0,8
3,25,0,0,7225
3,15,1,1,7
3,31,1,0,18
2,25,0,0,13
2,54,0,0,26
1,28,0,0,47
1,38,0,0,80
2,41,0,1,20
3,33,0,0,9
2,52,0,0,14
3,16,1,1,20
3,20,0,0,8
3,9,4,2,31
3,0,0,0,8
3,0,0,0,8
3,0,0,0,8
1,54,1,0,59
3,26,0,0,8
1,60,1,1,79
3,0,0,0,56
1,44,0,1,58
3,20,1,0,7925
3,0,3,1,25
2,16,0,0,11
3,43,1,6,47
3,17,0,0,9
1,37,1,1,53
2,62,0,0,11
3,8,4,1,29125
3,32,0,0,56
3,20,1,0,9825
2,28,0,0,13
3,21,0,0,8
3,37,2,0,7925
3,17,0,0,14
3,0,0,0,8
1,46,1,0,61175
3,0,0,0,15
3,24,0,0,8
1,29,1,0,67
1,56,0,1,83
2,31,1,1,37
3,0,0,0,8
2,32,1,0,26
3,33,1,1,20525
3,59,0,0,7
1,58,0,0,27
3,0,1,0,16
2,3,1,2,42
3,0,0,0,8
1,16,0,1,58
3,45,1,4,28
1,43,0,1,211
1,30,0,0,106425
3,28,0,0,16
3,24,0,0,8
2,30,0,0,13
1,36,0,0,40125
3,25,0,0,7
3,0,0,2,8
1,50,0,0,29
3,0,2,1,19
1,24,0,0,50
2,24,1,2,65
1,35,1,0,52
1,30,0,0,87
2,23,0,0,13
3,0,0,0,8
2,27,0,0,26
2,55,0,0,16
1,35,1,0,53
3,0,0,0,7
1,0,0,0,79
3,0,1,0,20
2,23,0,0,14
3,0,0,0,8
1,23,1,0,113275
3,51,0,0,8
2,33,0,2,26
3,29,0,4,21075
3,0,0,0,8
3,0,8,2,70
2,2,1,1,26
2,14,1,0,30
2,54,1,0,26
3,15,0,0,8
1,22,0,1,55
2,27,0,0,13
3,0,0,0,8
1,0,0,0,40
2,28,1,0,24
3,39,0,0,7925
2,2,1,1,26
3,24,1,0,16
3,32,0,0,8
3,45,0,0,7225
2,8,0,2,26
3,26,1,2,20575
1,29,0,0,211
2,45,1,1,26
3,36,1,0,17
1,0,0,0,26
3,4,0,2,22025
2,16,0,0,26
1,58,0,0,30
3,40,0,2,15
3,25,0,0,8
3,0,0,0,8
3,51,0,0,7
2,0,0,0,0
3,17,4,2,7925
3,0,0,0,7
3,40,1,1,16
3,25,0,0,0
1,47,0,0,26
1,0,0,0,27
2,44,1,0,26
1,23,3,2,263
2,18,0,0,12
2,29,1,0,21
3,12,1,0,11
3,11,0,0,19
3,22,0,0,8
2,19,0,0,11
3,22,1,0,7
3,33,0,0,8
1,56,0,0,27
2,1,0,2,37
3,22,0,0,8
3,0,0,0,7
3,0,0,0,8
3,7,4,1,29125
3,4,0,1,13
3,70,0,0,8
2,18,0,0,13
3,20,1,1,16
2,24,2,0,74
3,0,0,0,7225
2,34,0,0,11
3,0,0,0,8
1,31,0,2,165
3,30,0,0,8
2,18,0,0,12
3,9,3,2,28
1,39,1,1,80
1,33,1,0,53
1,70,1,1,71
1,24,0,0,69
1,58,0,1,153
3,21,0,0,8
1,17,1,0,109
3,28,1,1,14
1,24,0,0,83
3,0,0,0,7225
3,0,1,0,16
3,42,0,0,9
3,18,1,0,6
3,2,0,1,12
2,34,0,0,13
3,3,4,2,31
1,58,0,0,147
3,32,0,0,8
3,31,0,0,7925
3,0,0,0,7775
2,27,1,0,14
3,11,5,2,47
2,23,0,0,13
1,40,0,0,0
3,0,0,0,7
3,28,0,0,8
2,28,0,0,13
3,0,1,0,20
3,19,0,0,10
3,30,1,1,24
3,20,0,0,8
3,28,0,0,56
3,36,0,0,0
3,0,0,0,8
1,24,3,2,263
3,28,0,0,7
3,24,0,3,19
2,42,0,0,13
1,54,0,1,77
3,25,0,0,8
3,7,4,1,40
3,25,1,0,18
3,27,0,1,12475
3,24,1,0,16
3,0,0,0,7
2,28,0,0,13
3,19,0,0,15
3,22,0,0,7
3,0,0,0,7225
3,0,8,2,70
1,42,0,0,26
2,50,0,0,13
2,3,1,1,19
1,0,0,0,227525
3,18,2,0,18
3,18,1,1,8
1,44,2,0,90
1,0,0,0,30
1,0,0,0,42
3,0,1,0,24
3,16,0,0,7775
3,0,0,0,7
3,22,0,0,8
2,4,1,1,23
2,0,0,0,13
3,24,0,0,7
2,30,0,0,12
3,29,0,2,15
3,24,0,0,10
1,45,1,1,165
2,32,0,0,13
3,21,0,0,7925
1,35,0,0,512
3,0,8,2,70
3,0,2,0,23
1,36,0,1,512
3,41,0,5,40
3,23,0,0,8
3,34,1,1,14
2,0,0,0,33
3,0,0,0,24
3,15,0,0,7225
3,0,0,0,8
3,18,0,0,7775
3,30,0,0,8
2,32,2,0,74
3,4,4,1,29125
3,2,4,1,29125
3,0,0,0,8
3,0,2,0,22
1,48,0,0,26
3,31,0,0,8
1,47,0,0,34
3,26,1,0,16
3,9,5,2,47
3,19,0,0,8
3,0,0,0,8
3,22,0,0,9
3,0,0,0,7225
2,28,0,1,33
2,24,2,3,19
3,17,0,0,9
3,0,1,0,16
3,0,3,1,25
3,21,0,0,8
1,51,0,0,27
3,3,3,1,21075
3,0,2,1,19
3,0,0,0,7
3,34,0,0,8
2,18,0,1,23
1,44,0,0,28
3,0,0,0,15
3,0,0,0,10
3,37,0,0,10
2,21,1,0,12
1,36,1,0,79
3,32,0,0,7925
3,0,1,2,23
3,26,0,0,7775
1,80,0,0,30
3,55,0,0,8
2,60,1,1,39
3,0,0,0,8
3,18,0,0,7775
3,14,1,0,14
2,19,0,0,11
2,4,2,1,39
3,33,0,0,9
3,21,0,0,8
3,10,0,2,24
2,47,0,0,15
3,2,4,2,31275
2,29,1,0,26
1,22,1,0,67
3,28,1,0,16
1,0,0,0,30
3,26,0,0,19
3,33,0,0,10
2,27,0,0,11
3,27,0,2,11
2,34,0,0,13
3,0,0,0,7
1,30,0,0,28
3,30,1,0,16
2,0,0,0,12
3,0,0,0,7775
1,53,2,0,51
3,32,0,0,7925
2,52,0,0,13
1,52,1,1,80
3,39,1,5,31275
1,2,1,2,152
3,44,0,0,7925
2,51,0,0,12525
2,39,0,0,26
1,46,0,0,79
1,17,0,2,111
3,30,0,0,8
3,9,2,2,34375
3,27,0,0,8
3,21,0,0,9
3,0,0,0,56
3,26,0,0,8
3,3,1,1,16
2,48,0,0,13
1,36,0,0,136
3,0,1,0,16
2,32,0,0,13
1,33,0,0,87
2,22,1,2,42
3,19,0,0,7
3,74,0,0,7775
3,42,0,1,8
1,40,0,0,153
3,35,1,1,20
3,24,0,0,9
3,39,0,0,7925
2,32,1,0,30
2,1,2,1,39
3,34,0,0,6
1,64,1,4,263
3,25,0,0,7775
3,0,0,0,8
3,1,1,2,20575
3,45,0,0,6975
2,31,1,1,26
3,21,1,0,9825
3,25,0,0,8
1,15,0,1,211
3,26,0,0,8
2,30,0,0,11
1,24,0,0,69
2,35,0,0,11
2,70,0,0,11
1,0,0,0,0
3,21,0,0,16
3,18,0,1,9
3,0,0,0,8
3,1,5,2,47
3,0,8,2,70
3,26,0,0,56
3,25,1,0,7775
2,0,0,0,0
3,20,0,0,10
1,54,1,0,78
3,22,0,0,8
2,59,0,0,14
2,54,1,3,23
1,27,0,0,31
1,31,1,0,52
1,22,0,0,136
1,33,0,0,5
3,6,0,1,12475
3,5,4,2,31
1,39,0,0,0
3,24,0,0,8
2,54,0,0,14
3,0,0,0,8
3,0,0,0,8
3,30,0,0,7
3,0,0,0,8
1,35,0,0,512
1,21,0,0,78
1,32,0,0,31
3,16,0,0,10
3,22,0,0,7
3,0,0,0,8
1,38,1,0,90
3,0,8,2,70
2,25,1,0,26
2,33,1,2,28
3,0,1,0,16
1,18,1,0,109
3,0,1,0,16
3,0,0,0,8
3,2,4,1,40
3,0,0,1,9
2,26,0,0,11
